CONSIGNMENT ,SHIPMENTS               ,Datetime 
111JD5273751,884K0Eev5_4AAAFrCVkf63NM,20190620_151703
111JD5273752,3xYK0EyuioAAAAFrKbYgN3NM,20190620_151703
